borough_pluto,block_pluto,lot_pluto,cd,ct2010,cb2010,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitdistrict,sanitsub,address_pluto,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,ltdheight,allzoning1,allzoning2,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exemptland,exempttot,yearbuilt,builtcode,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,condono,tract2010,xcoord,ycoord,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,borough_finance,neighborhood,building class category,tax class at present,block_finance,lot_finance,ease-ment,building class at present,address_finance,apartment number,zip code,residential units,commercial units,total units,land square feet,gross square feet,year built,tax class at time of sale,building class at time of sale,sale price,sale date,price per sqft,bbl_pluto,unit_bbl
BX,2381.0,7501.0,203.0,141.0,3007.0,7.0,17.0,10451.0,L055,42.0,3400.0,1.0,3.0,,837 WASHINGTON AVENUE,R8,R7-2,,,C1-4,,,,,C1-4/R8,R7-2,Y,RM,4.0,1.0,,,21360.0,127825.0,24056.0,103769.0,0.0,12162.0,8367.0,3527.0,0.0,0.0,2.0,1.0,8.0,92.0,93.0,200.62,110.84,200.0,110.84,,0.0,Y,3.0,5.0,690303.0,3682801.0,552946.0,3545444.0,2008.0,,0.0,0.0,,,5.98,6.02,0.0,6.5,2.0,2023817501.0,115.0,141.0,1008634.0,238956.0,6c,Y,210S033,20904.0,,2023810056.0,5/20/2009,1.0,16v1,2,MORRISANIA/LONGWOOD      ,13  CONDOS - ELEVATOR APARTMENTS            ,2,2381,1042, ,R4,837 WASHINGTON AVENUE                    ,4O          ,10451,1,0,1,0,0,2008,2,R4,197788,2010-01-28,,2023817501.0,2023811042.0
BX,2381.0,7501.0,203.0,141.0,3007.0,7.0,17.0,10451.0,L055,42.0,3400.0,1.0,3.0,,837 WASHINGTON AVENUE,R8,R7-2,,,C1-4,,,,,C1-4/R8,R7-2,Y,RM,4.0,1.0,,,21360.0,127825.0,24056.0,103769.0,0.0,12162.0,8367.0,3527.0,0.0,0.0,2.0,1.0,8.0,92.0,93.0,200.62,110.84,200.0,110.84,,0.0,Y,3.0,5.0,690303.0,3682801.0,552946.0,3545444.0,2008.0,,0.0,0.0,,,5.98,6.02,0.0,6.5,2.0,2023817501.0,115.0,141.0,1008634.0,238956.0,6c,Y,210S033,20904.0,,2023810056.0,5/20/2009,1.0,16v1,2,MORRISANIA/LONGWOOD      ,13  CONDOS - ELEVATOR APARTMENTS            ,2,2381,1051, ,R4,837 WASHINGTON AVENUE                    ,5K          ,10451,1,0,1,0,0,2008,2,R4,336340,2010-01-19,,2023817501.0,2023811051.0
BX,2381.0,7501.0,203.0,141.0,3007.0,7.0,17.0,10451.0,L055,42.0,3400.0,1.0,3.0,,837 WASHINGTON AVENUE,R8,R7-2,,,C1-4,,,,,C1-4/R8,R7-2,Y,RM,4.0,1.0,,,21360.0,127825.0,24056.0,103769.0,0.0,12162.0,8367.0,3527.0,0.0,0.0,2.0,1.0,8.0,92.0,93.0,200.62,110.84,200.0,110.84,,0.0,Y,3.0,5.0,690303.0,3682801.0,552946.0,3545444.0,2008.0,,0.0,0.0,,,5.98,6.02,0.0,6.5,2.0,2023817501.0,115.0,141.0,1008634.0,238956.0,6c,Y,210S033,20904.0,,2023810056.0,5/20/2009,1.0,16v1,2,MORRISANIA/LONGWOOD      ,13  CONDOS - ELEVATOR APARTMENTS            ,2,2381,1058, ,R4,837 WASHINGTON AVENUE                    ,6E          ,10451,1,0,1,0,0,2008,2,R4,203812,2010-02-04,,2023817501.0,2023811058.0
BX,2381.0,7501.0,203.0,141.0,3007.0,7.0,17.0,10451.0,L055,42.0,3400.0,1.0,3.0,,837 WASHINGTON AVENUE,R8,R7-2,,,C1-4,,,,,C1-4/R8,R7-2,Y,RM,4.0,1.0,,,21360.0,127825.0,24056.0,103769.0,0.0,12162.0,8367.0,3527.0,0.0,0.0,2.0,1.0,8.0,92.0,93.0,200.62,110.84,200.0,110.84,,0.0,Y,3.0,5.0,690303.0,3682801.0,552946.0,3545444.0,2008.0,,0.0,0.0,,,5.98,6.02,0.0,6.5,2.0,2023817501.0,115.0,141.0,1008634.0,238956.0,6c,Y,210S033,20904.0,,2023810056.0,5/20/2009,1.0,16v1,2,MORRISANIA/LONGWOOD      ,13  CONDOS - ELEVATOR APARTMENTS            ,2,2381,1085, ,R4,837 WASHINGTON AVENUE                    ,8K          ,10451,1,0,1,0,0,2008,2,R4,367339,2010-03-25,,2023817501.0,2023811085.0
BX,2516.0,7501.0,204.0,199.0,6001.0,9.0,16.0,10452.0,L049,44.0,3310.0,2.0,4.0,,1209 NELSON AVENUE,R7-1,,,,C1-4,,,,,C1-4/R7-1,,N,R4,3.0,1.0,,,11750.0,24297.0,0.0,24297.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,28.0,28.0,150.0,89.86,150.0,52.0,,0.0,Y,0.0,5.0,119244.0,718648.0,65520.0,664924.0,2005.0,,0.0,0.0,,,2.07,3.44,0.0,4.8,2.0,2025167501.0,73.0,199.0,1004903.0,244645.0,3b,,210N053,20908.0,,2025160030.0,5/19/2006,1.0,16v1,2,HIGHBRIDGE/MORRIS HEIGHTS,13  CONDOS - ELEVATOR APARTMENTS            ,2,2516,1026, ,R4,1221 NELSON AVENUE                       ,1221B       ,10452,1,0,1,0,0,2005,2,R4,200000,2010-06-30,,2025167501.0,2025161026.0
BX,2607.0,7501.0,203.0,185.0,3004.0,8.0,16.0,10456.0,E050,42.0,3500.0,1.0,3.0,,1094 FRANKLIN AVENUE,R6,,,,,,,,,R6,,N,R1,2.0,1.0,,,3900.0,5387.0,0.0,5387.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,8.0,23.34,167.19,23.0,85.0,,0.0,N,0.0,5.0,46239.0,373388.0,44397.0,371546.0,2006.0,,0.0,0.0,,,1.38,2.43,0.0,4.8,2.0,2026077501.0,107.0,185.0,1010192.0,240736.0,3d,,210S050,21003.0,,2026070045.0,1/23/2009,1.0,16v1,2,MORRISANIA/LONGWOOD      ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,2607,1101, ,R1,1094 FRANKLIN AVENUE                     ,1A          ,10456,1,0,1,0,0,0,2,R1,0,2010-12-22,,2026077501.0,2026071101.0
BX,2607.0,7501.0,203.0,185.0,3004.0,8.0,16.0,10456.0,E050,42.0,3500.0,1.0,3.0,,1094 FRANKLIN AVENUE,R6,,,,,,,,,R6,,N,R1,2.0,1.0,,,3900.0,5387.0,0.0,5387.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,8.0,23.34,167.19,23.0,85.0,,0.0,N,0.0,5.0,46239.0,373388.0,44397.0,371546.0,2006.0,,0.0,0.0,,,1.38,2.43,0.0,4.8,2.0,2026077501.0,107.0,185.0,1010192.0,240736.0,3d,,210S050,21003.0,,2026070045.0,1/23/2009,1.0,16v1,2,MORRISANIA/LONGWOOD      ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,2607,1102, ,R1,1094 FRANKLIN AVENUE                     ,1B          ,10456,1,0,1,0,0,0,2,R1,0,2010-12-22,,2026077501.0,2026071102.0
BX,2607.0,7501.0,203.0,185.0,3004.0,8.0,16.0,10456.0,E050,42.0,3500.0,1.0,3.0,,1094 FRANKLIN AVENUE,R6,,,,,,,,,R6,,N,R1,2.0,1.0,,,3900.0,5387.0,0.0,5387.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,8.0,23.34,167.19,23.0,85.0,,0.0,N,0.0,5.0,46239.0,373388.0,44397.0,371546.0,2006.0,,0.0,0.0,,,1.38,2.43,0.0,4.8,2.0,2026077501.0,107.0,185.0,1010192.0,240736.0,3d,,210S050,21003.0,,2026070045.0,1/23/2009,1.0,16v1,2,MORRISANIA/LONGWOOD      ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,2607,1103, ,R1,1094 FRANKLIN AVENUE                     ,2A          ,10456,1,0,1,0,0,0,2,R1,0,2010-12-22,,2026077501.0,2026071103.0
BX,2607.0,7501.0,203.0,185.0,3004.0,8.0,16.0,10456.0,E050,42.0,3500.0,1.0,3.0,,1094 FRANKLIN AVENUE,R6,,,,,,,,,R6,,N,R1,2.0,1.0,,,3900.0,5387.0,0.0,5387.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,8.0,23.34,167.19,23.0,85.0,,0.0,N,0.0,5.0,46239.0,373388.0,44397.0,371546.0,2006.0,,0.0,0.0,,,1.38,2.43,0.0,4.8,2.0,2026077501.0,107.0,185.0,1010192.0,240736.0,3d,,210S050,21003.0,,2026070045.0,1/23/2009,1.0,16v1,2,MORRISANIA/LONGWOOD      ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,2607,1104, ,R1,1094 FRANKLIN AVENUE                     ,2B          ,10456,1,0,1,0,0,0,2,R1,0,2010-12-22,,2026077501.0,2026071104.0
BX,2607.0,7501.0,203.0,185.0,3004.0,8.0,16.0,10456.0,E050,42.0,3500.0,1.0,3.0,,1094 FRANKLIN AVENUE,R6,,,,,,,,,R6,,N,R1,2.0,1.0,,,3900.0,5387.0,0.0,5387.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,8.0,23.34,167.19,23.0,85.0,,0.0,N,0.0,5.0,46239.0,373388.0,44397.0,371546.0,2006.0,,0.0,0.0,,,1.38,2.43,0.0,4.8,2.0,2026077501.0,107.0,185.0,1010192.0,240736.0,3d,,210S050,21003.0,,2026070045.0,1/23/2009,1.0,16v1,2,MORRISANIA/LONGWOOD      ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,2607,1105, ,R1,1094 FRANKLIN AVENUE                     ,3A          ,10456,1,0,1,0,0,0,2,R1,0,2010-12-22,,2026077501.0,2026071105.0
