,xcoord,ycoord,latitude,longitude,sale price,price per sqft,zip code
0,1008534.0,237641.0,40.81891189145405,-73.91226441375524,0,,10455
1,1008900.0,238176.0,40.820379301210735,-73.91094012925214,190000,,10456
2,1008458.0,238121.0,40.82022956416339,-73.91253726220305,217000,,10451
3,1008458.0,238121.0,40.82022956416339,-73.91253726220305,290000,,10451
4,1008458.0,238121.0,40.82022956416339,-73.91253726220305,184000,,10451
5,1008458.0,238121.0,40.82022956416339,-73.91253726220305,249000,,10451
6,1008634.0,238956.0,40.8225209179877,-73.91189834600107,173000,,10451
7,1008634.0,238956.0,40.8225209179877,-73.91189834600107,276100,,10451
8,1008634.0,238956.0,40.8225209179877,-73.91189834600107,150000,,10451
9,1008634.0,238956.0,40.8225209179877,-73.91189834600107,203812,,10451
10,1008634.0,238956.0,40.8225209179877,-73.91189834600107,197788,,10451
11,1008634.0,238956.0,40.8225209179877,-73.91189834600107,336340,,10451
12,1008634.0,238956.0,40.8225209179877,-73.91189834600107,203812,,10451
13,1008634.0,238956.0,40.8225209179877,-73.91189834600107,367339,,10451
14,1004903.0,244645.0,40.83814509804414,-73.9253612738588,200000,,10452
15,1010192.0,240736.0,40.82740207104271,-73.90626226950795,0,,10456
16,1010192.0,240736.0,40.82740207104271,-73.90626226950795,0,,10456
17,1010192.0,240736.0,40.82740207104271,-73.90626226950795,0,,10456
18,1010192.0,240736.0,40.82740207104271,-73.90626226950795,0,,10456
19,1010192.0,240736.0,40.82740207104271,-73.90626226950795,0,,10456
20,1010192.0,240736.0,40.82740207104271,-73.90626226950795,0,,10456
21,1010192.0,240736.0,40.82740207104271,-73.90626226950795,0,,10456
22,1010192.0,240736.0,40.82740207104271,-73.90626226950795,0,,10456
23,1009942.0,237497.0,40.81851266931191,-73.90717801003173,135000,,10455
24,1010994.0,238193.0,40.82041986978495,-73.90337449460498,215000,,10456
25,1010994.0,238193.0,40.82041986978495,-73.90337449460498,225000,,10456
26,1011452.0,238564.0,40.82143676087503,-73.90171824777589,0,,10459
27,1011452.0,238564.0,40.82143676087503,-73.90171824777589,247000,,10459
28,1011452.0,238564.0,40.82143676087503,-73.90171824777589,232200,,10459
29,1011452.0,238564.0,40.82143676087503,-73.90171824777589,244000,,10459
30,1011325.0,236269.0,40.81513802525229,-73.90218636170762,212977,,10455
31,1011325.0,236269.0,40.81513802525229,-73.90218636170762,228190,,10455
32,1011325.0,236269.0,40.81513802525229,-73.90218636170762,230282,,10455
33,1011325.0,236269.0,40.81513802525229,-73.90218636170762,238000,,10455
34,1011325.0,236269.0,40.81513802525229,-73.90218636170762,0,,10455
35,1012478.0,240812.0,40.82760365913804,-73.89800182076392,200000,,10459
36,1012478.0,240812.0,40.82760365913804,-73.89800182076392,218050,,10459
37,1016107.0,249999.0,40.85280693293869,-73.88484527978281,2137201,,10458
38,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
39,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
40,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
41,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
42,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
43,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
44,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
45,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
46,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
47,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
48,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
49,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
50,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
51,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
52,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
53,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
54,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
55,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
56,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
57,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
58,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
59,1016107.0,249999.0,40.85280693293869,-73.88484527978281,0,,10458
60,1017242.0,247545.0,40.84606726638174,-73.8807546321376,305000,,10460
61,1017242.0,247545.0,40.84606726638174,-73.8807546321376,263640,,10460
62,1017242.0,247545.0,40.84606726638174,-73.8807546321376,280000,,10460
63,1017242.0,247545.0,40.84606726638174,-73.8807546321376,0,,10460
64,1017242.0,247545.0,40.84606726638174,-73.8807546321376,0,,10460
65,1017242.0,247545.0,40.84606726638174,-73.8807546321376,452448,,10460
66,1017242.0,247545.0,40.84606726638174,-73.8807546321376,452448,,10460
67,1011380.0,256938.0,40.871868171915516,-73.90190404365453,2232077,,10468
68,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
69,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
70,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
71,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
72,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
73,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
74,1011380.0,256938.0,40.871868171915516,-73.90190404365453,0,,10468
