xcoord,ycoord,latitude,longitude,sale price,price per sqft,zip code,tree_count_quarter_mile
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1011380.0,256938.0,40.8718681719,-73.9019040437,0,,10468,496.0
1010752.0,256706.0,40.8712333113,-73.9041756657,313381,,10463,209.0
1015862.0,258047.0,40.8748971195,-73.8856929278,143000,1.37654861719,10458,343.0
1019101.0,258059.0,40.8749178607,-73.8739808535,362505,,10467,420.0
1019101.0,258059.0,40.8749178607,-73.8739808535,367575,,10467,420.0
1019101.0,258059.0,40.8749178607,-73.8739808535,362505,,10467,420.0
1019101.0,258059.0,40.8749178607,-73.8739808535,367575,,10467,420.0
1019101.0,258059.0,40.8749178607,-73.8739808535,362505,,10467,420.0
1019101.0,258059.0,40.8749178607,-73.8739808535,334620,,10467,420.0
1019101.0,258059.0,40.8749178607,-73.8739808535,223080,,10467,420.0
1019101.0,258059.0,40.8749178607,-73.8739808535,353500,,10467,420.0
1024845.0,232443.0,40.8045849489,-73.8533659784,289000,,10473,101.0
1024845.0,232443.0,40.8045849489,-73.8533659784,0,,10473,101.0
1024845.0,232443.0,40.8045849489,-73.8533659784,10,,10473,101.0
1024845.0,232443.0,40.8045849489,-73.8533659784,10,,10473,101.0
1024845.0,232443.0,40.8045849489,-73.8533659784,306000,,10473,101.0
1024845.0,232443.0,40.8045849489,-73.8533659784,306000,,10473,101.0
1024845.0,232443.0,40.8045849489,-73.8533659784,0,,10473,101.0
1024845.0,232443.0,40.8045849489,-73.8533659784,320000,,10473,101.0
1024845.0,232443.0,40.8045849489,-73.8533659784,0,,10473,101.0
1024845.0,232443.0,40.8045849489,-73.8533659784,0,,10473,101.0
1024845.0,232443.0,40.8045849489,-73.8533659784,260000,,10473,101.0
1025122.0,233012.0,40.806145418,-73.852361959,360000,,10473,204.0
1025122.0,233012.0,40.806145418,-73.852361959,360000,,10473,204.0
1025122.0,233012.0,40.806145418,-73.852361959,380000,,10473,204.0
1025122.0,233012.0,40.806145418,-73.852361959,375000,,10473,204.0
